id,title,lat,lon,city,state,postcode,operator,num_connections,num_points,max_power_kw,speed_category,is_operational,year_created,cluster,is_free,is_desert
185509,Dortmunder Str. 4,51.396994,7.46871,Hagen,,58099,,2,2,22.0,Medium (22-49 kW),,2021,2,False,False
185508,Bahnhofstr. bei 9,54.636404,9.771689,Süderbrarup,,24392,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185507,Blumenhagenstraße (gegenüber Hausnummer 10),52.38889,9.71016,Hannover,,30167,,2,2,22.0,Medium (22-49 kW),,2021,4,False,False
185506,Große Str. bei 16,54.635104,9.773658,Süderbrarup,,24392,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185505,Lornsenstraße 13,54.620686,8.971005,Bredstedt,,25821,,4,4,22.0,Medium (22-49 kW),,2021,0,False,False
185504,Konrad-Adenauer-Straße 33,52.196339,9.085802,Rinteln,,31737,,2,2,22.0,Medium (22-49 kW),,2021,4,False,False
185503,Josefstraße 5,51.020428,7.32117,Lindlar,,51789,,2,2,22.0,Medium (22-49 kW),,2021,2,False,False
185502,Rheinberger Straße ,51.665163,6.453539,Xanten,,46509,,2,2,22.0,Medium (22-49 kW),,2021,2,False,False
185501,Erika-Mann-Str. 59,48.143347,11.537457,München,,80636,,2,2,22.0,Medium (22-49 kW),,2021,1,False,False
185500,Marquardstraße 35,50.564215,9.686012,Fulda,,36039,,2,2,22.0,Medium (22-49 kW),,2021,5,False,False
185499,Hauptstr. 42,54.579445,9.68934,Taarstedt,,24893,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185498,An den Boddenwiesen 10,54.5691,13.468741,Glowe,,18551,,2,2,22.0,Medium (22-49 kW),,2021,3,False,False
185497,Nicolaistraße 21,50.508963,12.399298,Auerbach/Vogtland,,08209,,2,2,22.0,Medium (22-49 kW),,2021,3,False,False
185496,Essener Straße 27,51.377046,12.395435,Leipzig,,04129,,4,4,22.0,Medium (22-49 kW),,2021,3,False,False
185495,Goldener Stieg 40,48.666271,13.48452,Hutthurm,,94116,,3,3,22.0,Medium (22-49 kW),,2021,1,False,False
185494,Schulstr. 0,49.645522,7.021983,Neuhütten,,54422,,2,2,22.0,Medium (22-49 kW),,2021,2,False,False
185493,Dorfstrasse 4,54.525805,9.068051,Horstedt,,25860,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185492,Amtsweg 10,54.524765,9.029168,Hattstedt,,25856,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185491,Tammensiel 20,54.52346,8.68473,Pellworm,,25849,,2,2,21.0,Slow (<22 kW),,2021,0,False,False
185490,Stadtfeld 2,54.521061,9.563741,Schleswig,,24837,,10,10,22.0,Medium (22-49 kW),,2021,0,False,False
185489,Quitzowstr. 23,52.535641,13.353111,Berlin,,10559,,4,4,22.0,Medium (22-49 kW),,2021,3,False,False
185488,Bachstraße 10,54.516306,13.641098,Sassnitz,,18546,,2,2,22.0,Medium (22-49 kW),,2021,3,False,False
185487,Rheinstraße 221,48.78266,8.20499,Baden-Baden,,76532,,4,4,22.0,Medium (22-49 kW),,2021,5,False,False
185485,Tweebarg 34,54.487456,9.543281,Busdorf,,24866,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185484,Edgar-Andre-Str.39a,53.056189,14.279523,Schwedt/Oder,,16303,,2,2,22.0,Medium (22-49 kW),,2021,3,False,False
185483,Bahnhofstraße 65,51.04637,9.28278,Borken,,34582,,2,2,22.0,Medium (22-49 kW),,2021,4,False,False
185482,Wunstorfer Landstraße 59,52.38393,9.66369,Hannover,,30453,,2,2,22.0,Medium (22-49 kW),,2021,4,False,False
185481,Großparkplatz an der Bayreuther Straße,49.505809,11.74543,Sulzbach-Rosenberg,,92237,,2,2,22.0,Medium (22-49 kW),,2021,1,False,False
185480,Heubachstr. 3,47.703739,10.34107,Durach,,87471,,2,2,22.0,Medium (22-49 kW),,2021,1,False,False
185479,Tweebarg 34,54.487456,9.543281,Busdorf,,24866,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185478,Dreifelderstr 3-5,48.7038331,9.2185226,Stuttgart ,,70599,,4,4,22.0,Medium (22-49 kW),,2021,5,False,False
